file,group,time,channel,n_cells,mean_cell_intensity,median_cell_intensity,mean_nonzero_pixels,fold_change
TAMO-MB231,Chemoresistant,0,LipiBlue,350,20.074174880981445,20.114089965820312,14318.285714285714,1.0
TAMO-MB231,Chemoresistant,0,342,350,50.57014465332031,50.039459228515625,13843.07142857143,1.0
TAMO-MB231,Chemoresistant,0,BODIPY,350,36.04677200317383,40.53269958496094,20264.785714285714,1.0
TAMO-MB231,Chemoresistant,0,pHrodo,350,23.11939811706543,23.027891159057617,14882.42857142857,1.0
TAMO-MB231,Chemoresistant,0,TMRM,350,17.039684295654297,17.33148956298828,13039.285714285714,1.0
TAMO-MB231,Chemoresistant,0,Lyso,350,14.147686958312988,15.126522064208984,14007.714285714286,1.0
TAMO-MB231,Chemoresistant,0,Tubulin,350,44.43061447143555,46.60517120361328,24971.214285714286,1.0
TAMO-MB231,Chemoresistant,1,LipiBlue,350,17.16573715209961,16.805559158325195,12184.92857142857,0.8551154532564459
TAMO-MB231,Chemoresistant,1,342,350,36.93290710449219,40.56489181518555,11692.785714285714,0.7303302641841912
TAMO-MB231,Chemoresistant,1,BODIPY,350,31.441640853881836,30.854482650756836,17143.5,0.8722456715711875
TAMO-MB231,Chemoresistant,1,pHrodo,350,19.027191162109375,19.213623046875,12434.92857142857,0.8229968213603528
TAMO-MB231,Chemoresistant,1,TMRM,350,15.11050796508789,15.078690528869629,11163.214285714286,0.8867833290163473
TAMO-MB231,Chemoresistant,1,Lyso,350,12.695387840270996,12.649541854858398,11836.142857142857,0.8973472397063011
TAMO-MB231,Chemoresistant,1,Tubulin,350,41.267723083496094,39.53593826293945,21337.428571428572,0.928812792135187
TAMO-MB231,Chemoresistant,2,LipiBlue,525,15.841793060302734,15.437043190002441,7596.476190476191,0.7891628499914819
TAMO-MB231,Chemoresistant,2,342,525,33.25743103027344,20.401134490966797,7323.9047619047615,0.6576495135275401
TAMO-MB231,Chemoresistant,2,BODIPY,525,36.722320556640625,30.008607864379883,10621.761904761905,1.018740889015175
TAMO-MB231,Chemoresistant,2,pHrodo,525,22.51420021057129,21.561168670654297,7750.333333333333,0.9738229384939127
TAMO-MB231,Chemoresistant,2,TMRM,525,16.3287410736084,15.611215591430664,6949.428571428572,0.9582772069182518
TAMO-MB231,Chemoresistant,2,Lyso,525,13.911456108093262,13.282295227050781,7301.476190476191,0.9833025107979987
TAMO-MB231,Chemoresistant,2,Tubulin,525,43.399925231933594,42.29019546508789,13280.0,0.976802273572773
TAMO-MB231,Chemoresistant,3,LipiBlue,400,14.561670303344727,14.548759460449219,10451.875,0.7253932173890074
TAMO-MB231,Chemoresistant,3,342,400,35.20364761352539,38.780494689941406,10112.4375,0.6961349993135526
TAMO-MB231,Chemoresistant,3,BODIPY,400,27.999353408813477,27.598440170288086,14539.3125,0.7767506451437095
TAMO-MB231,Chemoresistant,3,pHrodo,400,17.59430694580078,18.01105499267578,10542.8125,0.7610192469852258
TAMO-MB231,Chemoresistant,3,TMRM,400,13.893263816833496,14.444849014282227,9604.5,0.8153474897640418
TAMO-MB231,Chemoresistant,3,Lyso,400,11.546597480773926,11.669166564941406,9910.8125,0.8161473684565308
TAMO-MB231,Chemoresistant,3,Tubulin,400,37.641014099121094,37.894107818603516,18329.25,0.8471864399561818
TAMO-MB231,Chemoresistant,4,LipiBlue,250,15.817378997802734,16.300504684448242,14990.1,0.7879466574134681
TAMO-MB231,Chemoresistant,4,342,250,34.51225662231445,35.13544464111328,13946.2,0.6824630789354181
TAMO-MB231,Chemoresistant,4,BODIPY,250,32.15425109863281,29.55663299560547,21278.3,0.8920147162082006
TAMO-MB231,Chemoresistant,4,pHrodo,250,19.118953704833984,17.91546630859375,14972.8,0.8269658927981112
TAMO-MB231,Chemoresistant,4,TMRM,250,15.344818115234375,15.080499649047852,13713.4,0.9005341794476691
TAMO-MB231,Chemoresistant,4,Lyso,250,12.648350715637207,12.272359848022461,13902.0,0.8940225178084823
TAMO-MB231,Chemoresistant,4,Tubulin,250,44.56572341918945,41.56336212158203,26175.7,1.0030408975739187
TAMO-MB231,Chemoresistant,5,LipiBlue,350,13.61678695678711,13.112648010253906,8483.07142857143,0.6783236191534748
TAMO-MB231,Chemoresistant,5,342,350,22.43526840209961,16.310945510864258,6913.785714285715,0.4436465142803693
TAMO-MB231,Chemoresistant,5,BODIPY,350,22.751564025878906,19.97992515563965,11520.285714285714,0.6311678622395284
TAMO-MB231,Chemoresistant,5,pHrodo,350,15.327783584594727,13.991044998168945,7591.214285714285,0.6629836774721495
TAMO-MB231,Chemoresistant,5,TMRM,350,14.02077579498291,13.503607749938965,7734.571428571428,0.8228307257170655
TAMO-MB231,Chemoresistant,5,Lyso,350,11.16257095336914,10.568263053894043,7295.142857142857,0.7890032474043516
TAMO-MB231,Chemoresistant,5,Tubulin,350,49.16691970825195,46.10081481933594,14456.5,1.1066000390307764
TAMO-MB231,Chemoresistant,6,LipiBlue,300,14.461002349853516,15.763120651245117,9518.0,0.720378418320649
TAMO-MB231,Chemoresistant,6,342,300,24.005178451538086,21.092571258544922,7839.583333333333,0.474690721493951
TAMO-MB231,Chemoresistant,6,BODIPY,300,28.38555908203125,28.712343215942383,12958.916666666666,0.7874646606229255
TAMO-MB231,Chemoresistant,6,pHrodo,300,17.52197265625,19.220623016357422,8487.5,0.7578905197932585
TAMO-MB231,Chemoresistant,6,TMRM,300,15.046679496765137,16.20513343811035,8733.916666666666,0.8830374574840307
TAMO-MB231,Chemoresistant,6,Lyso,300,11.855753898620605,12.428548812866211,8022.25,0.837999450620748
TAMO-MB231,Chemoresistant,6,Tubulin,300,52.12907028198242,47.618717193603516,16074.166666666666,1.173269172666883
TAMO_p1,Chemoresistant,0,LipiBlue,425,19.327550888061523,14.210460662841797,6476.176470588235,1.0
TAMO_p1,Chemoresistant,0,342,425,129.18226623535156,99.17935943603516,8880.35294117647,1.0
TAMO_p1,Chemoresistant,0,BODIPY,425,14.978991508483887,14.201183319091797,7668.411764705882,1.0
TAMO_p1,Chemoresistant,0,pHrodo,425,19.223377227783203,19.012813568115234,7521.705882352941,1.0
TAMO_p1,Chemoresistant,0,TMRM,425,22.06855010986328,23.770957946777344,7684.294117647059,1.0
TAMO_p1,Chemoresistant,0,Lyso,425,13.942100524902344,11.181906700134277,6791.941176470588,1.0
TAMO_p1,Chemoresistant,0,Tubulin,425,21.350427627563477,22.221818923950195,12897.823529411764,1.0
TAMO_p1,Chemoresistant,1,LipiBlue,450,16.802120208740234,14.067806243896484,7440.666666666667,0.8693351944099018
